id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h
leopard,leopard,Leopard,5.67646e-13,0.0,12.59,6.06416e-13,5.6704e-13,-4.81091
chains-of-war,mira,Chains of War,0.00026926,0.0,1622.03,0.00030717,0.00020504,-12.08803
vibe-cat,minette,Vibe Cat,1.143e-05,0.0,1.27,,,
trump-cards-fraction-token,itrump,Trump Cards Fraction Token,0.00299994,0.0,21758.0,,,
unifi-2,unifi,UNIFI,7.73,0.0,10525181.0,7.89,7.45,0.84677
ton-raffles,raff,TON Raffles,0.054682,0.0,3774.93,0.056221,0.054546,-2.16577
tomarket,toma,Tomarket,6.57961e-07,0.0,198619.0,6.90784e-07,6.59625e-07,-4.38359
bonkearn,bern,BonkEarn,0.00183983,0.0,1637.53,0.00204743,0.00183966,-5.36201
boop,boop,Boop,0.02299108,0.0,841.87,0.02331083,0.02294509,-1.28671
boringdao-[old],bor,BoringDAO [OLD],57.34,0.0,1.25,60.35,57.34,-4.1714
vibe-3,vibe,VIBE,4.226e-05,0.0,4.87,,,
boots,boots,boots [OLD],3.881e-05,0.0,4.93,,,
toku,toku,Toku,1.33268e-07,0.0,9.82,1.37775e-07,1.31109e-07,-3.15782
caave,caave,cAAVE,5.49,0.0,0.0,5.72,5.46,-3.44228
2moon,moon,2MOON,1.89e-06,0.0,71653.0,1.9e-06,1.87e-06,0.56823
tonstakers,tston,Tonstakers,2.86,0.0,42493.0,3.0,2.85,-4.33957
tony-the-duck,tony,TONY THE DUCK,1.993e-05,0.0,7.25,,,
bridged-wbnb,wbnb,Bridged WBNB,941.72,0.0,3108.92,1002.87,938.42,-4.50292
leveraged-cvx,xcvx,Leveraged CVX,1.15,0.0,0.0,1.25,1.15,-7.62134
